Year,Crop,CropYear,Cover,Trt,CC,DPP,CC.win,Timing,Split,Herb,Plot,Obs_ID,Block,YieldData,YieldBuac,Rye.kgha,WeedUnit,UTC.tot.density.rep,UTC.tot.density.siteyear,AMACH_density,CHEAL_density,ERICA_density,BL_density,GRASS_density,SEDGE_density,Total_density,AMACH_biomass(g),CHEAL_biomass(g),ERICA_biomass(g),BL_biomass(g),GRASS_biomass(g),SEDGE_biomass(g),NoCov_Bl,NoCov_grass,NoCov_ERICA,brown.tot.density,brown.bl.density
2022,Beans,Beans22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,101,obs1,B1,no,na,0,2sqm,98,92,5,10,77,4,2,0,98,0.94,4.01,25.21,0.323,0.299,0,4,2,77,124,67
2022,Beans,Beans22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,101,obs2,B1,yes,na,0,2sqm,98,92,8,49,36,15,7,0,115,0.172,4.14,27.12,0.852,0.65,0,15,7,36,55,39
2022,Beans,Beans22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,102,obs3,B1,no,na,2397.696,2sqm,98,92,0,1,52,43,3,9,99,0,0.006,12.85,6.08,0.074,0.73,4,2,77,124,67
2022,Beans,Beans22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,102,obs4,B1,yes,na,2820.16,2sqm,98,92,1,0,2,17,1,0,21,0,0,2.102,1.09,0.035,0,15,7,36,55,39
2022,Beans,Beans22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,103,obs5,B1,no,na,459.2,2sqm,98,92,6,12,38,67,1,13,124,0.243,1.66,7.26,3.07,0.111,1.9,4,2,77,124,67
2022,Beans,Beans22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,103,obs6,B1,yes,na,551.488,2sqm,98,92,1,2,11,39,2,0,55,0.007,0.173,6.56,2.35,0.066,0,15,7,36,55,39
2022,Beans,Beans22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,104,obs7,B1,no,na,1305.472,2sqm,98,92,12,7,9,48,5,0,81,0.97,0.97,1.3,3.56,0.59,0,4,2,77,124,67
2022,Beans,Beans22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,104,obs8,B1,yes,na,1699.712,2sqm,98,92,4,0,1,8,7,0,20,3.28,0,0.032,0.158,1.36,0,15,7,36,55,39
2022,Beans,Beans22,Cereal Rye,1-3 DAPPOST,1-3 DAP,0,21,Roll plant,Weedy,POST,201,obs9,B2,no,na,2316.16,2sqm,93,92,0,0,2,11,0,0,13,0,0,0.44,0.59,0,0,74,0,3,142,107
2022,Beans,Beans22,Cereal Rye,1-3 DAPPRE/POST,1-3 DAP,0,21,Roll plant,Weed free,PRE/POST,201,obs10,B2,yes,na,1718.08,2sqm,93,92,9,1,0,22,3,3,35,0.91,0.56,0,5.72,0.21,0,18,3,1,24,16
2022,Beans,Beans22,Cereal Rye,3-7 DPPPOST,3-7 DPP,-7,14,3-7 d pre-plant,Weedy,POST,202,obs11,B2,no,na,2010.176,2sqm,93,92,2,17,3,127,0,0,149,0.161,5.473,2.646,8.56,0,0,74,0,3,142,107
2022,Beans,Beans22,Cereal Rye,3-7 DPPPRE/POST,3-7 DPP,-7,14,3-7 d pre-plant,Weed free,PRE/POST,202,obs12,B2,yes,na,1527.68,2sqm,93,92,1,1,2,35,0,0,39,1.57,0.204,0.476,2.87,0,0,18,3,1,24,16
2022,Beans,Beans22,Cereal Rye,CTLPOST,CTL,CTL,na,na,Weedy,POST,203,obs13,B2,no,na,0,2sqm,93,92,1,15,3,74,0,0,93,0.027,23.87,4.55,5.1,0,0,74,0,3,142,107
2022,Beans,Beans22,Cereal Rye,CTLPRE/POST,CTL,CTL,na,na,Weed free,PRE/POST,203,obs14,B2,yes,na,0,2sqm,93,92,4,4,1,18,3,0,30,0.656,0.85,0.095,3.19,0.22,0,18,3,1,24,16
2022,Beans,Beans22,Cereal Rye,14-21 DPPPOST,14-21 DPP,-21,0,14-28 d pre-plant,Weedy,POST,204,obs15,B2,no,na,319.424,2sqm,93,92,0,2,4,107,29,0,142,0,1.19,2.84,12.67,4.17,0,74,0,3,142,107
2022,Beans,Beans22,Cereal Rye,14-21 DPPPRE/POST,14-21 DPP,-21,0,14-28 d pre-plant,Weed free,PRE/POST,204,obs16,B2,yes,na,618.688,2sqm,93,92,3,0,0,16,5,0,24,3.22,0,0,4.08,0.49,0,18,3,1,24,16
